,singer,song
734523,Diemonsterdie,Midnight Run To Houston
853669,Laleh,Lär mig om
317409,Los Tiki Phantoms,Spaguetti
291976,Povel Ramel,Aclutti Busch Boosch Bumpa Albertina
813126,London Community Gospel Choir / Paul Carrack,Soul To Soul (Radio Edit)
336554,Sepultura,Amen (Album Version)
859282,Ghost Machine,Vegas Moon
96611,Orjan Nilsen,WoodChunk
256549,Antony & The Johnsons,Man Is The Baby
821827,Cory Gunz,Intro
648442,Lester Young,Lester Leaps In
151579,Jazz Gillum,I Got Somebody Else
392234,Helge Schneider,Der viereckige Hai
517740,DHC Meinhof,Everyday is Hell
597629,Whole Wheat Bread,Every Man For Himself
162140,The Colour,Our Children Were The Stars (Between Earth And Sky Album Version)
989109,Rosana,Recuerdos De Un Amor
850742,Octopus Project,Hypnopaedia
184299,Jean Lumière,Le tango de Lola
634750,Jean-Michel Bernard,Berceuse Lisa
59208,The Love Unlimited Orchestra,Do It To The Music&Please
682386,The Basin Brothers,Attakapas Trail
170967,Hagood Hardy,This Is My Beloved
141758,The Gathering,Rescue Me
641548,Big Audio Dynamite,Looking For A Song
262666,Jim Gaffigan,Lazy
807223,Utah Jazz,Runaway
397024,Spencer Brewer,Portraits
695895,Boards of Canada,Basefree
982035,Joan Manuel Serrat,L'Home Del Carrer
650728,Siiri Nordin,Sano vain (Radio Edit)
679439,Pulley,Wok Inn
824289,David & Steve Gordon,English Garden Suite  ii. Peaceful Fountain
385447,2-Pac,The Case Of The Misplaced Mic
202422,The Pale Pacific,Sucker Punch
138128,Sr Chinarro,El Teorico
818891,Thirsty Merc,Blood & Guts
315679,Chris Brown,Fallen Angel
301217,Adolph Hofner,Kelley Waltz
340905,Exile,Correct
891600,Negative FX & Last Rights,No Guts No Glory
863567,Laughin'Nose,Deadly Order
72494,Sharon Burch,Little One (World)
947377,Jane Birkin,Maison Étoilée
734977,Liliana Herrero,Romería
459766,Eddie Fisher,When You Kiss A Stranger
15821,God Module,Let's Go Dark
869716,The Grassy Knoll,March Eighteenth
381637,Jessie Hill,Oogsey Moo - Take 10
564472,Down Low,We Do It Like That
151583,Teddy Pendergrass,I Can't Live Without Your Love
756344,Andrei Gavrilov,4 Ballades: No. 1 in G minor Op. 23
458627,The Raveonettes,You Want The Candy
570609,GWAR,SounderKommando
715661,Medwyn Goodall,Wisdom of the Forest (Part 1)
770674,Leatherface,Diego Garcia
497975,Noor Jehan,Main Ne Har Kanta
546541,Clannad,Newgrange
231512,Daisuke Miyatani,Old Tape
467308,Jan A.P. Kaczmarek / Nick Ingman,Why Does She Have To Die?
314905,Kids On TV,Body  Positivity (Hard Feelings UK)
701889,Status,Monoton Der Zirbeldrüse
998110,The Magic Numbers,Most Of The Time
968781,The Jam,Start!
7947,Lester Young,Lester Leaps In
105096,Kaiser Chiefs,Born To Be A Dancer
284551,David Zaizar,No vuelvo a amar
750851,Agoria,Spinach Girl Feat. Sylvie Marks (The Junesex Call)
877332,Callenish Circle,This Day You Regret
980250,The Bug,Buckle Up (Dub Mix)
169001,Kris Kross,Tonite'S Tha Night
672120,Steve Porter,Fluffer Nutter
60341,Finley,Veleno
544179,Argy Bargy,Disappear
864507,Fiona Apple,Finding The Key
63248,Casiotone For The Painfully Alone,Young Shields
725276,The Rural Alberta Advantage,The Deadroads
413626,Silicone Soul,The All Nite Dub
85761,Dave Evans,Carnal Knowledge
152618,Fleming & John,6_570
709570,Gaither Vocal Band,Bethlehem ... Galilee ... Gethsemane
771064,Joe Veras,De Cantina En Cantina
875358,Blind Lemon Jefferson,Chock House Blues
750085,Sf Spanish Fly,Daddy's Home [Spanish Version]
619857,Junkie,Say
623238,Oysterband,Someone Somewhere
458542,Alex,De Cuentas
98691,Spiritus Mortis,All The Words Were Spoken
173800,Voice Of A Generation,Odd Generation's Back
188180,Sugababes,Too Lost In You
991026,Rhian Sheehan,Cosmology (Gasoline Cowboy Remake)
410485,Café Tacvba,No me comprendes
305841,Elvis Perkins,May Day !
385521,Siiri Nordin,Duck Soup
565346,Sim Redmond Band,Somewhere To Land
320721,Deee-Lite,Bring Me Your Love (LP Version)
95747,Xavier Rudd,Koonyum Sun
33182,Pilar Montenegro,Love Is All You Need
828134,Ian Anderson/Andrew Giddings,Twelve Dances With God: At Their Father's Knee
623417,Enduser,Not So Distant Drums
514847,Tenor Saw,Message To All Beginners
169169,Ego Likeness,Séance
916484,Faith Hill,Paris (Album Version)
478289,Polkadot Cadaver,Chloroform Girl
707269,Fred Waring and The Pennsylvanians,Sleep (from 'In Hi-Fi')
175323,Al Di Meola,Suite: Golden Dawn
921727,Marc Shaiman,Empty Nest
301340,Sinai Beach,Never Say Never
368596,Meade 'Lux' Lewis,Honky Tonk Train Blues
686978,Los Titanes,Noche De Rumberos
407435,Special D.,Come With Me
185287,Uniikki,Aika ei venaa ketään
557150,Helen Humes,Exactly Like You
164144,Gaute Ormåsen,Protein Vitamin
35629,Nut,Yo ya no juego
400690,Too Pure To Die,Confess
98600,Slacker,Psychout (Micah's Tribute To A Legend Remix)
784929,The Sword,Under the Boughs
556848,Ricky Skaggs,Heartbroke
369992,Bob Rivers,We Wish You Weren't Living With Us  (LP Version)
720431,Mull Historical Society,Watching Xanadu (Mike Hedges Remix)
402898,Mike And The Mechanics,Something To Believe In
160706,Claes Rosen,Pondus
590915,David Crowder*Band,Wholly Yours (Key-C-Premiere Performance Plus)
27549,KAUKO  RÖYHKÄ,PYHÄ KAUPUNKI
128157,Widespread Panic Tribute,Surprise Valley
138350,Icons of Filth,Present And History
102509,Bakar,Devant ma fenêtre Feat Diam's
100846,Buddy Holly & The Crickets,Have You Ever Been Lonely
934789,Marla Glen,Destiny (To Get Up Again)
922360,The Flamin' Groovies,Teenage Head (Live)
604026,The Plan,Red Shift
313733,Antonello Venditti,Qui
299721,Flora Purim,White Wing/Black Wing
974268,Magtens Korridorer,Lorteparforhold
677421,Cor veleno,Testa Rotta
169609,Jack Radics,Look So Good
510141,Born Jamericans,Nobody Knows
324944,The Specials,Why?
182514,Stampin´ Ground,A New Darkness Upon Us - Intro
365353,Servotron,Theme For An Ultimate And Inevitable Victory
102494,Wagon Christ,Doin' The Do
417123,Pieces Of A Dream,Who U Wit?
736065,Busted,That's Entertainment
986152,Underoath,You're Ever So Inviting (Live)
62713,Seabound,Soul Diver
312402,Jesse Sykes & The Sweet Hereafter,The Open Halls Of The Soul
984862,Toumani Diabate With Ballake Sissoko,Bafoulabe (Album Version)
976738,Amel Larrieux,Infinite Possibilities
79354,Nil Lara,How Was I To Know
529520,Todor Kolev,Falshiv geroy
88850,John O'Callaghan,Take It All Away
197774,Charlie Feathers,Roll over beethoven
525941,Rabih Abou-Khalil,Ugo In Love
119330,Heidi Marie Vestrheim,I Believe
523626,Juan Y Junior,Nada
861007,French Affair,Poison - Radio version
532596,Psychopomps,Superpsycho
469731,Dead Can Dance,Frontier (Remastered)
721124,Jesse Winchester,Head's Lament
576744,The Generationals,Wildlife Sculpture
32542,Juçara Marçal e Kiko Dinucci,Padê
592017,Poisonblack,The Days Between
148846,The Cardigans,Drip Drop Teardrop
381486,Energy Feat. Candy,Grown Music
181036,The Tranzmitors,Beating Up My Heart
728409,Johnny Hawksworth,"Duck & Blacker (From ""Martial Club"")"
504923,Chroma Key,Again Today
844193,Desperate Measures,Slow One
554974,Ninjaman,How Master God World A Run
501654,Die Sekte,F*** dein Battle feat. B-Tight_ MOK_ Alpa Gun_ Tony D_ Bendt_ Fuhrman_ Collins_ Calle
812645,Britney Spears,Radar
489098,Aurosonic,My Way
880670,Dj Kapital,Inspirated
318860,The Merry Elves,Messiah_ Oratorio_ HWV 56 And the Glory of the Lord
888793,The Deep Dark Woods,Foggy Night (written by C.S. Mason)
681044,Rosana,Bebes de mi (Maqueta)
433533,Pajama Party,Loving You
982066,Loquillo,Ya No Hay Heroes
585207,Future Prophecies,Bring The Noise
561196,Arthur Fiedler,Strike Up The Band
804891,Steve Lawrence,The Lamp Is Low
7815,Devotos,Se explodir não é pecado
977439,The Faint,I Disappear (Single Version)
257949,Akhénaton,Lettre Aux Hirondelles
798329,Young Dubliners,Jump In The Sea
487971,Eubie Blake,Fizz Water
699876,Gary Burton / Pat Metheny / Steve Swallow / Antonio Sánchez,Coral
290477,Christopher Willits,Colors Shifting
178047,Brotherhood Of Man,Where Are You Going To My Love?
276588,The Lords,Poison Ivy (1999 Digital Remaster)
193509,Movetron,Missä sä oot?
95460,They Might Be Giants,Fingertips 1 - Everything Is Catching On Fire (LP Version)
853095,Celia Cruz Y Sonora Matancera,El Heladero - Original
603213,Eoghan Quigg,Learn To Fly
700495,Allan Holdsworth,Checking Out
902387,Warner mack,I'll Still Be Missing You
46264,Articles Of Faith,Bad Attitude (2006 Remastered LP Version)
620706,Maurizio Molonato,Totalys
870160,Cliff Richard,I Saw Her Standing There (2002 Digital Remaster)
617723,GRANDADDY,Go Progress Chrome
474492,Sentenced,You Are The One
214229,Tree63,Not As This World (Sunday Album Version)
748120,Chavez,Tight Around The Jaws
540534,José Alfredo Jimenez,En El Ultimo Trago
848501,Kealii Reichel,Lei Hali'a (Album Version)
979464,The Bandit,May I Never Be Complete
975279,Figurines,Wrong Way All The Way (Album Version)
105848,Malibu Stacy,Hotel de Police
13113,Jimmy Rodgers,In The Hills of Tennessee
907730,Lisa Millett,When I'm Dancin' [Danism Dub]
236592,Simon Harris,Car Stab
79507,Dédé Saint-Prix,Lerdou
196802,Rapsoul,Dramatourgie
991091,Ohm Square,Half The Girl
962396,Gabi,Square hôtel
393636,Frankie Goes To Hollywood,Two Tribes
347645,MZ 412,NBS Act I: Begravning
580794,Katerine,Mort A La Poésie
585728,Pereza,Fragiles
572206,GZA/Genius,Skit #1
261027,Los Muecas,Ebrio De Amor
478545,Leb I Sol,Kokoaka
784825,Bessie Smith,The Gin House Blues
818260,Al Hibbler,Where Or When
249587,Jessica Simpson,In This Skin
655892,Elsie Carlisle,Please Leave My Butter Alone
792586,Lyrics Born,Let Me In_ Let Me Out (Remix) (Bonus track)
168770,Diego Carrasco,Moma Teresa
832242,The Red Thread,Constant Fires
91704,Free,The Highway Song
767862,Sue Keller,Cleanin' Up Christmas
537189,Robert Gordon_ with Link Wray,Blue Suede Shoes
901684,Moqsha,Inspector Morse (Part 2)
997689,Loving The Sun,Driven Far Away
995242,Rain Tree Crow,Rain Tree Crow (2003 Digital Remaster)
424892,Pebbles,Girlfriend
539592,Aromabar,Africa For Eu
284144,Maggie Reilly,To France
384944,Trio Irakitan,Samba Da Minha Terra
139933,Olimpo Cárdenas,Plegaria
878826,Grand Kalle Et l'African Jazz,Merengue Scoubidou
798788,The Paul Butterfield Blues Band,Play On (LP Version)
6689,Dido,Quiet Times
816674,Lory Bianco,A Cry In The Night
483053,Busta Rhymes,Back On My B.S. Intro
435955,Kajagoogoo,Islands
534197,FourPlay String Quartet,Trust
307126,Israel Houghton,I Receive
880340,"Richard ""Groove"" Holmes",That Healin' Feelin'
496202,Passion,Passion
151450,Alesana,Red And Dying Evening
516847,Reload,Fade to Grey
174222,Justine Electra,Railroad Baby
425081,Stabbing Westward,Drugstore
306357,Svenska Akademien,Framtidens Början
759424,The Black Seeds,Love Is A Radiation
618177,Mando Diao,To China With Love
245606,The Mass,Gas Pipe
927112,Colm Mac Con Iomaire,thou shalt not carry (timer na hiompair adhmad)
623031,Koffi Olomidé,Drapeau Blanc
452232,Debby Boone,God Knows
976711,Gustavo A. Santaolalla,Gaucho
1917,Silvain Vanot,Trop Tôt (Nouvelle Version)
749316,Museum Pieces,Eye of My Mind
489678,Phil Lee,Les Debris_ Ils Sont Blancs
593340,Pegz,Fuckin Wid Pegz
620474,Guadalcanal Diary,Lips Of Steel (LP Version)
763763,Matinalsystem,Glamourous Walk
247505,Chris Mills,Atom Smashers
281451,The Rum Diary,Grey
476270,Future Sound Of London,Lifeforms (Path 5)
856882,Best Days Behind,Within Me
489350,Téléphone,Les Ils Et Les Ons (Live 1981)
280568,GreenAppleQuickStep,????(Bonus track)
182273,Sneaky Sound System,I Just Don't Want To Be Loved
438737,Bryn Christopher,The Way You Are
202516,Automatic 7,Getting Older
37257,Bell X1,Lamposts
980438,Modey Lemon,Ants In My Hand
728360,Stream of Passion feat. Ayreon,Intro
629332,Myron Butler & Levi,The Journey To The Cross
680727,Leroy Sibbles,Fat Girl
511544,Pee Wee Crayton,I've Found Peace Of Mind - Original
581432,Fania All Stars,Anacoana
221176,Patti Scialfa,City Boys
713321,The Violet Burning,I'm No Superman
204472,Baron Rojo,Tierra De Nadie
37398,The D4,Feel It Like It
601198,Crosby & Nash,Low Down Payment
376263,Wayne Marshall,Organ Symphony No. 6 in G minor Op. 42 No. 2: IV.     Cantabile
340796,George Clinton and Parliament,Bounce 2 This
997384,Donna Fargo,You Were Always There
563511,Nothing Painted Blue,[Untitled]
285349,Doug MacLeod,One Good Woman
329759,M2M,Sometimes (album version)
358722,Athlete,It's Not Your Fault
148666,Throneberry,Green Goddess
940566,Danny Howells,Everything's Here
340400,The Cute Lepers,Cool City
433110,Cheeky Girls,Cheeky Flamenco
302187,Sugababes,Sweet & Amazing (Make It The Best)
574415,Hardcore Superstar,Medicate Me
61215,Pharaoh Overlord,Octagon
906533,Miossec,Tendre S
974231,Oen Bearen & TrancEye,Masuo
316232,Sheena Easton,Don't Leave Me This Way
226620,Pele,Te Cam
744482,1349,Hellfire
382293,Everette Harp,Central Park West
347121,Soda Inc.,Night Fever
930564,Laszlo Hortobagyi,DARBARI - ANK
732398,Harry Gregson-Williams,...He's Been Arrested For Espionage
689212,Ryan Adams,Go Easy
6722,Westernhagen (WEA),Der Typ Auf Zelle Nr. 10 (Remastered)
500797,Lock And Key,Independence Game
75839,Mink DeVille,Lipstick Traces
665518,Ian Pooley,Guardando Indietro
862148,Bad Habit,Wiping Your Tears Away
302649,Jeri Southern,You're The Top
262744,Demians,Shine
230176,Peter Wackel,"Una Estrella (Span. Version ""Ein Stern Der Deinen Namen Trägt"")"
708825,And So I Watch You from Afar,Start a Band
103980,Corey,Why did I
397330,Koopsta Knicca,A Murder N' Room 8
309139,Ophélie Winter,Fallin for You
841278,Bettie Serveert,Calling
157036,Kevin Ayers,Toujours La Voyage (2005 Digital Remaster)
484599,Melvins,Green Honey
970130,Arion (Telemann),Conclusion pour deux flûtes_ cordes et basse continue en mi mineur - Allegro
685222,Man Doki,I Dance Through My Dreams
111111,Starlet,Calabria (Ronnie Maze Club Mix)
651407,Rah Digga (Featuring Eve & Sonja Blade),Do The Ladies Run This (LP Original Version)
320817,The Bloodsugars,Happiness
716191,Ricardo Montaner,Bésame (JCCalderon)
772359,Sydney Youngblood,I'd Rather Go Blind
844102,Pulser,Things You Say
779624,Aereogramme,A Meaningful Existence
263892,Rednose Distrikt,4 Vareke
352353,Hoods,Self Respect
110349,Korea,GPHH38
989840,Lilac Storm,Warm and Dry
564662,R. Kelly,Text Me
607833,Slut,Odds And Ends
406429,Peret,Amor A Todo Gas
105013,Exillon,Aliasing
873781,Los Humildes,La Carta
196207,Lorie,Intro
629699,Soul Of Man,Shake 'Em Down (Dylan Rhymes Remix)
725329,Mark Foggo's Skasters,Piggy
369288,Captain Beefheart,Frownland
369910,Don Drummond,Alipang
458085,Toto Coelo,I Eat Cannibals (Part 1)
161571,Meat Loaf,Midnight At The Lost And Found
839649,Al Kooper;Mike Bloomfield,Sonny Boy Williamson
803344,The Quireboys,There She Goes Again (Live)
976765,Andre Watts,"Piano Sonata No. 14 In C Sharp Minor_ Op. 27 No. 2 ""Moonlight"": III. Presto agitato"
38966,Sunlightsquare,I Believe In Miracles
594718,Triple Bounce,Ironman
966349,Ashley Tisdale,Erase And Rewind (Album Version)
333919,Mustard Plug,Just A Minute
548904,Shitmat,Night Of The Scorpion Scumland Riders
476941,Stockholm Monsters,Death Is Slowly Coming
982632,Diane Cluck,Real Good Time
17312,Meat Puppets,100 Of Nothing (Album Version)
370444,Frost feat. Angel Dust_ Mad One & Baby Bash,Choo Choo Train
112120,Santos & Pecadores,John Big Dream
834493,Agenda of Swine,Decimation Of World Trade Through Organization
274656,4 Promille,Knock Out
660400,Nina Simone,Blues Prelude
314946,Asleep At The Wheel,Get Your Kicks on Route 66
882144,Lukie D,Life
176018,Cannon's Jug Stompers,Last Chance Blues
362945,Dokken,Too High To Fly
234500,Maze Featuring Frankie Beverly,Feel That You're Feelin' (Live) (Feat. Frankie Beverly)
868456,Solomon Jabby,A Way In The Wilderness
852484,Mike Jones,Ma (He's Making Eyes At Me)
584977,The Last Poets,White Man's Got a God Complex
864452,The Durutti Column,Art And Freight
930997,Satyricon,That Darkness Shall Be Eternal (Album Version)
294008,Tamba Trio,Tristeza De Nós Dois
922793,Gene Simmons,Be Her #1
72241,Ewan MacColl,Clyde's Water
56588,Carmen de Lorenzo,Desde el día en que te vi
384364,The Vandermark 5,Confluence (For Sonny Rollins)
321894,Madame Saatan,Cine trash
518726,Indochine,Salômbo
831636,Athlete,Hurricane (Live At KOKO)
283135,Patti Labelle & The Bluebelles,It's Written In Our Hearts
650116,Gaither Vocal Band,The Christmas Song
61498,Phil Harris,The Preacher and The Bear
168974,Captain Ahab,Old Like You
383892,Mixtapes And Cellmates,A: Pavement B: Home
728723,Ethel Merman,There's No Business Like Show Business
837152,Baka Beyond,Bounaka (Album Version)
687405,The (International) Noise Conspiracy,Satan Made The Deal
969779,Wiley,2nd Phaze
790046,Twisted Individual,Bus It 2nite
528734,Sharron Kraus,The Peacock's Wing
800501,Keilerkopf,Steine
720097,Claude Thornhill,Stealin' Apples
533996,Ursula 1000,Bass and Tremble
562598,Zafra Negra,No Llores Por Ella
736769,Quadro Nuevo,"Volver (from ""El Dìa Que Me Quieras"")"
596509,Bossa Nostra,Blooming
597489,The Outlaws,Waterhole
161101,Kinds of Cases,The right way
586594,Kiran Murti,Lotus Reflection
857293,Eraser Vs Yöjalka,Rum and Bases
615617,Firewall,Sincere 2005
794269,GRENDEL,Judged Ones (Fractured Remix)
430283,The Band,The Rumor (Live) (2001 Digital Remaster)
88832,Vector Lovers,Post Arctic Industries
25308,Kate Bush,In Search Of Peter Pan
566768,Current 93,"The Dissolution Of The Boat ""Millions Of Years"""
220891,Duran Duran,Anyone Out There
267032,Ektomorf,Nothing Left
182956,Eyedea & Abilities,Now
90435,Ot Azoj Klezmerband,Ruven's Doina
632100,Natural Black,Never Hurt You
982481,Moodorama,Even in dreams
157238,John Debney,Death Of Hashems Wife
561552,303D V DJ Iain,Seduction
45444,Chely Wright,Back Of The Bottom Drawer
986580,Bad Wizard,Hurricane
884150,Flor Silvestre,Quiero Que Sepas
438616,Mahalia Jackson,In The Upper Room
608686,Leaether Strip,It's Who I Am (Vigilante Remix)
625717,Spinners,They Just Can't Stop It (Games People Play)  (LP Version)
351188,Dessert Sessions,Bring It Back Gentle
177820,Sandi Thom,What If I'm Right
470924,Jeremiah Freed,Wait For Me
306349,Ron Basejam,No Jose
372210,Los Campesinos!,The Sea Is A Good Place To Think Of The Future
641151,Os Mutantes,Vida De Cachorro
71180,Hocus Pocus,Praise Jesus
587132,B.O.B.,Decatur
709762,Petra,Don't Let Your Heart Be Hardened
962236,Lucerin Blue,Find Me  (Lucerin Clue Album Version)
920254,The Saints,Intermission (Live At Paddington Town Hall)
52098,Carpark North,Transparent & Glasslike
626785,Cornershop,Hong Kong Book Of Kung Fu
805989,Warlocks,Cake
933989,Preservation Hall Jazz Band,Maryland_ My Maryland
754375,Gary Bartz,If This Isn't Love
661305,Ice Mc,I've Got This Music
791501,Garnett Silk,His Kingly Character
659679,The Lewis Family,I'm Building A Stairway To Heaven
314824,John Powell,Absolutely Beautiful
22318,Fobia,Hoy Tengo Miedo ( En Vivo)
827050,Zuma,Midnight Flowers
404601,Curtis Stigers,It's So Hard Living Without You
980249,Sick Puppies,Howard's Tale
473300,Tangerine Dream,220 Volt - Live
952398,IIIRD Tyme Out,Lord Protect My Soul
970337,Veltto Virtanen,Kehtolaulu
707254,Slyde,You're My fix
329722,Four Letter Lie,Careless Lover
123724,Karaoke - Ameritz,The Millennium Prayer
110457,Roger Chapman & The Shortlist,Fortune Teller (Bonus Track)
36134,Johnny Tillotson,Without You
105899,Elmer Iseler Singers_ Elmer Iseler,Mass: V. Agnus Dei
391947,Benümb,Programming the Cranial Void
317959,Thomas Godoj,Love Is You
258441,Neeme Jarvi,Jeu de cartes (The Card Game) : Deuxieme donne (Second Deal): March: Marcia
237898,Anthony Que,We Don T Care
208602,Buddy Guy & Junior Wells,That's All Right
580494,Natlife,It's Snowing
682081,King Harvest,Motor Job
789908,Soklak,Underground Zero (feat. Chase Phoenix)
909184,Roberto Perera,Romance De Medianoche
298870,Garbage,Silence Is Golden
744605,Gyroscope,Hollow Like Cheyenne
270171,Harry Lauder,There's a Wee Hoose 'mang the Heather
512443,Clarence Profit,There'll Be Some Changes Made
183891,The Blondes,Suzi Quatro
161585,Saravah Soul,Oil Is Thicker Than Blood
506801,The Beatnuts,Get Funky
439404,Crash Test Dummies,Overachievers
449287,Before Their Eyes,Because 7 Ate 9
916554,Silvertide,Blue Jeans
633483,Bill Withers,I Want To Spend The Night
833619,Motörhead,Fire Fire
367117,Pernice Brothers,Somerville
752593,Cher,I'm Blowin' Away
354955,Amnesia,Cuori di Gomma
63225,Canibus,Poet Laureate
160658,Vanilla Muffins,The Gang From Kannenfeldpark
752194,Ramsey Lewis,Sarah Jane
308517,David Huff,Rocky Road (Celtic Dreams Album Version)
486175,Dane Cook,Let's Do This_ I'm A Cashew (Album Version)
725973,Frank Ifield,Once A Jolly Swagman
119370,Hot Chip,One Pure Thought (Original Long Version)
635067,Vitamin X,Spoil Our Fun
164553,Só Pra Contrariar,"Pout Pourri ""Raça Negra"" 1"
375441,2 LIVE CREW,Tab Ski Cuttin' It Up
372914,Sick Of It All,Closer (LP Version)
433263,Metallica,Hit The Lights
2886,Bob Welch,Moodys Mood For Love
945492,Mahmoud Ahmed,Tezeta Garèdèw
513483,John Gorka,Lightning's Blues
754041,Darius & Finlay feat. Nicco,Rock To The Beat
490111,Vicarious Bliss,Theme From Vicarious Bliss
722410,Col. Bruce Hampton,Ghost Alcohol Sandwich
927636,Lee Ann Womack,The Weight
321016,Garou,Le Calme Plat
762995,Scott Wesley Brown,Lift Up Our Eyes
543092,Bobby Capo,En La Comparsa - Original
662564,Paul Revere & The Raiders (featuring Mark Lindsay),Beatnick Sticks
349869,Planet Asia,Perfection Is Done (Featuring DJ Vin Roc (5th Platoon) Beats by Fanatik)
317310,Low,Turning Over
462388,Mississippi Joe Callicott,Lost My Money In Jim Kinnane's
291685,Jacques Higelin,Vous Êtes Jolie (Live Au Trianon)
971345,Joe Liggins & His Honeydippers,Pink Champaigne
238263,Stevie B,Each Time
564160,Bic Runga,Say After Me
846036,Kudai,Todo Peor
259702,El Chaval De La Peca,Glosa A La Solea (Toíto Te Lo Consiento)
853564,Årabrot,Liaison Summer
640355,Billy Squier,The Stroke (Live) (24-Bit Digitally Remastered 05)
483653,Fire Ball,Interlude #1
929046,Singin' Sammy Ward,Who's The Fool
410372,The Wheels,Free My Little Children
658685,The High Wire,You Don't Know What I Know
188830,Duke Ellington,A Night At the Cotton Club Part 1
94210,Daz Dillinger & JT The Bigga Figga,Street Life
86789,Lukie D,Where Are They Now
84137,Tommy McCook / The Skatalites,Cotton Tree (aka Knock Out Punch)
757138,Helen Reddy,This Masquerade
778656,Dom Um Romao,Mysterious Traveller
789313,Junior Kimbrough And The Soul Blues Boys,I Feel Alright
733346,Manzanita,DOS GARDENIAS
638394,Zion Train,Free Heart
702755,Psyche,Torture (Remix)
927154,HAMMERFALL,The Metal Age
389935,The Wannadies,Soon You're Dead
933160,Showtime (instrumentals),Softguitar
379154,Majai,Strange
857555,Shaun Ansari,Sparkles
450532,Looking Glass,Brandy (You're A Fine Girl)
908423,After Dark,En Natt I Madrid
733689,Thea Gilmore,Into The Blue
607184,Boston Pops Orchestra,Galop
451967,Dexter Gordon,Blues Bikini
971711,Super Deluxe,Easy Way Out (Album Version)
324918,Perez Prado,Mambo Pachuco
85577,Kiss,Heaven's On Fire
696682,Downhere,Jesus_ Ellipsis (Uncut Demo)
202571,Mad Professor,The English Connection
725936,The Simpsons,Born Under A Bad Sign
812484,Clã,Narciso Sobre Rodas
370336,The Teardrop Explodes,Log Cabin
472753,Inner City,Big Fun (Magic Juan Remix)
256936,Angela Dimitriou,Edo Pou Ta Leme
388258,Zia,livin' in a hurricane
810541,Kingmaker,Playground Brutality
897937,Creed,Full Circle
124217,Maxime Le Forestier,Marin Du Cap
919874,Joseph Fire Crow,Old Man of the Rain Forest
442599,3 Colours Red,Beautiful Day
349222,Bob Gibson,By And By (LP Version)
665844,Dada Life,Vote Yes [Luka Remix]
257513,Neil Sedaka,The Diary
645077,Bebe And Cece Winans,Change Your Nature
272317,Andre Nickatina,Oh God
905524,Léo Ferré,La Pipe
527880,The Bots,The Sea Of Time
482412,Cobra Starship,Guilty Pleasure (Radio Edit)
413181,Tree63,King (Live)
562780,Ewan MacColl,The Rantin Laddie - Child 240
625323,2XL,It's On
512623,Faron Young,Unmitigated Gal
847156,Alain Goraguer,L'affaire Dominici (Thème principal)
691465,Slim Smith,Ain't No Dub
50166,Armin van Buuren,Sail
86428,Kriegsfall-U,The Great Man I. - The Stance
474973,Cherrelle,Don't
114200,The Roches,On The Road To Fairfax County (Album Version)
586240,Ed Bruce,The Bartender (it's all on the jukebox)
198803,Backstreet Boys,Love Will Keep You Up All Night
772685,The Charlie Byrd Trio,Blue Room
100031,Escuela De La Calle,Aguante La Libertad
948675,Nostalgia 77 Octet,To Have Or To Be?
237337,Simon Wynberg,Intervention No 4
207531,Bettie Serveert,Wide Eyed Fools
530408,Atheist,Enthralled In Essence (Pre-Production Demo 8/90)
311227,Jah Thomas,Friday Night Jamboree
781607,Hermanas Huerta,Te Volaste La Barda
843218,The Beautiful South,You Keep It All In
166223,Kleerup featuring Titiyo,Longing For Lullabies  (Baltic Sea Beach Club Remix) (Feat. Titiyo)
733756,Blind Boy Fuller_ Sonny Terry,Train Whistle Blues
411730,Collective Soul,Smashing Young Man (LP Version)
767540,Alan Hawkshaw,Roving Reporter
873328,Vacuum,I Breathe
456728,Mary Hopkin,Crazy for my Sweetheart
512806,Angélica Maria,Que Viva Ka Buena Vida
135855,Freekbass,Merge
85261,Transwave,Rising high
255927,Sir Charles Jones,Let's Get It On
416240,Kenny Rogers,The King Of Oak Street
360636,Robert Moore,Somewhere
177656,Courtney Melody,Modern Girl
815184,George Duke,Anticipation (Album Version)
827991,The Sound of Arrows,Into the Clouds
893504,Vanessa Paradis,Varvara Pavlovna
723571,C-Funk,Watch Out Boy
105290,Maurizio Vandelli,Un Angelo Blu
332620,Lewis Family,I Want My Life To Count For Him
32275,Kristian Leontiou,Here I Am
601021,autoKratz,its on
755908,Redman,Soopaman Luva 3
466221,Ian Whitcomb,War In Snider's Grocery Store
265310,Joe Grushecky,Labor of Love
374865,Hemdale,Extremely Rotten Flesh
503961,Paquito D'Rivera,Pastoral (Continuación)
842492,Destiny's Child,Bootylicious
464407,Rio Grande,Fado Triste (Live)
878464,Black Rob,Smile In Ya Face (amended album version)
868019,Three 6 Mafia feat. Chrome,Dancin' On A Pole
88451,Floor,Tales Of Lolita
965590,Jim Chappell,The Big Day
59883,Chymera,Arabesque
133053,Black Math Horseman,A Barren Cause
839579,Prince Jammy,Life On Uranus
126916,Soulive,Up Right
519562,Magneto,Vuela_ Vuela (Voyage_ Voyage)
550508,Para One,Turtle Trouble
739358,Jeans Team,Nonstop Nonstop Nonstop
704243,On File,Let The Lager Decide
113385,Bare Jr.,Give Nothing Away
14790,Coldplay,The Scientist
554562,Johnny Fiasco,Speak The Truth
99029,Ochre,Neoretro
